"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005002394861382","https://ae04.alicdn.com/kf/H2ec928fb827a412fa79bf95872d34bf4x.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/308640001619.mp4","Women's Nylon Messenger Bags Ladies Handbag Travel Casual Tote Shoulder Female High Quality Multi-pocket Crossbody Bag","USD 23.92","USD 15.31","36%","USD","10.5","USD 1.61","50","97.8%","https://s.click.aliexpress.com/e/_DnF9jKL",,,,,,
"1005004101765362","https://ae04.alicdn.com/kf/S0f1c78bfa1d348da94873717fee1a760x.jpg",,"Lovely Children's PU Leather Red Messenger Bag Cute Girls Cartoon Shoulder Bags Princess Accessories Mini Coin Purse Handbags","USD 5.38","USD 2.74","49%","USD","7","USD 0.19","85","100.0%","https://s.click.aliexpress.com/e/_DdNK4H5",,,,,,
"1005003211693427","https://ae04.alicdn.com/kf/S8802c2251e8e4e3193eb25c804031cb1M.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352718168043.mp4","Ladies Handbags Women Vintage Canvas Solid Color Checker Crossbody Shoulder Messenger Bag Girl Casual Large Capacity Phone Bag","USD 1.73","USD 1.23","29%","USD","7","USD 0.09","145","93.5%","https://s.click.aliexpress.com/e/_DeTem1V",,,,,,
"4001064460179","https://ae04.alicdn.com/kf/H8d696b3b385644b98910425b82e18a22z.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/307028551489.mp4","Men's Vintage Canvas Bag Men Casual Crossbody Bag For Men Messenger Bag Man Travel Shoulder Bags Bolsa Masculina High Quality","USD 25.28","USD 12.64","50%","USD","7","USD 0.88","20","96.0%","https://s.click.aliexpress.com/e/_DmK2P2j",,,,,,
"1005004668073532","https://ae04.alicdn.com/kf/Safaff0d096754e2facaa0c18b3f08027v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100082728746.mp4","Fashion Chest Bag Men's 2022 Lightweight Waterproof Shoulder Bag Multi-functional Leisure Waist Packs Travel Chest Bag for Male","USD 20.70","USD 10.14","51%","USD","8.0","USD 0.81","77","93.3%","https://s.click.aliexpress.com/e/_DdDZC3v",,,,,,
"1005003731393946","https://ae04.alicdn.com/kf/Sbd2dbc9c602b4d188b960a0a659ad2fem.jpg",,"Waterproof Oxford Large Capacity Shoulder Bags Canvas Girl Shoulder Hand Bucket Bag Crossbody Bags Women Casual Tote Purses","USD 10.38","USD 7.06","32%","USD","7","USD 0.49","125","84.0%","https://s.click.aliexpress.com/e/_DCK6jq7",,,,,,
"1005004009679402","https://ae04.alicdn.com/kf/S66aceba77df04e7a898b46e6bf04f4beB.jpg",,"Vintage Trendy Ladies Underarm Shoulder Bag Solid Color Lacquer PU Leather Handbag Women Fashion Brand Simple Female Chain Purse","USD 10.56","USD 4.86","54%","USD","7","USD 0.34","398","85.1%","https://s.click.aliexpress.com/e/_DEFaMV5",,,,,,
"1005002577398778","https://ae04.alicdn.com/kf/H634bb8b37bbc489f9c95a97dc56cf946w.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/308039121414.mp4","2022 New Arrival Women Shoulder Bag Genuine Leather Softness Small Crossbody Bags For Woman Messenger Bags Mini Clutch Bag","USD 32.60","USD 17.93","45%","USD","8.0","USD 1.43","37","91.1%","https://s.click.aliexpress.com/e/_DlBDWXD",,,,,,
"4001233326645","https://ae04.alicdn.com/kf/Hd506be6becbf4cebb28584421dba5a22U.jpg",,"2023 Women Handbags Oxford Canvas Shoulder Messenger Bags Nylon Waterproof Zipper Crossbody Bags Purses Handbags Bolso Mujer","USD 19.57","USD 9.78","50%","USD","7","USD 0.68","38","92.5%","https://s.click.aliexpress.com/e/_DEbUuTh",,,,,,
"1005004606676509","https://ae04.alicdn.com/kf/Se0165a981397479c8e2515445d69d5a36.jpg",,"Women Canvas Shoulder Bag Shopper Casual Grocery Handbag Print Horse Vintage Large Capacity Tote Books Bag","USD 9.99","USD 4.50","55%","USD","7","USD 0.32","25","100.0%","https://s.click.aliexpress.com/e/_DDGBvUr",,,,,,
"1005002954348894","https://ae04.alicdn.com/kf/H16edcf129fcc400a9db3e2a10a8f7055x.jpg",,"Manga Anime Tokyo Ghoul Shopping Bag Graphic Tote Harajuku Shopper Bag Women Canvas Shoulder Bag Female Ulzzang Eco Bag","USD 7.00","USD 3.71","47%","USD","7","USD 0.26","78","98.5%","https://s.click.aliexpress.com/e/_DDNvZhh",,,,,,
"1005005042226371","https://ae04.alicdn.com/kf/Sc39891ac6a264de4ab55d05a056e87f6w.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100117224561.mp4","Large Capacity Women'S Tote Solid Color Satchels Bag Canvas Shoulder Bags Casual Canvas Shopping Bags Unisex Student Book Bag","USD 30.52","USD 14.34","53%","USD","7","USD 1.00","85","null%","https://s.click.aliexpress.com/e/_DBz6Zmj",,,,,,
"1005002839928591","https://ae04.alicdn.com/kf/S6eb86d69a8fd4390858e76f4f42ceec3s.jpg",,"2022 Fashion Spain D women backpack embroidered print shoulder bags large capacity handbag beautiful backpack travel bag","USD 27.00","USD 25.65","5%","USD","7","USD 1.80","42","100.0%","https://s.click.aliexpress.com/e/_DlGXo0j",,,,,,
"1005002776595890","https://ae04.alicdn.com/kf/H2d5a56eb63cc44c8b693c88593c0e338q.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/313555210148.mp4","Summer Small Shoulderbag Women Girl Nylon Crossbody Bag Lightweight Phone Wallet Lady Mini Clutch Messenger Square Bags Vintage","USD 24.00","USD 12.24","49%","USD","8.0","USD 0.98","21","100.0%","https://s.click.aliexpress.com/e/_DDwpAG3",,,,,,
"1005003469149446","https://ae04.alicdn.com/kf/S0c59735be25143fea361085392704e2bf.jpg",,"Nylon Handbags Shoulder Bag Large Capacity Crossbody Bags for Teenager Girls Men Harajuku Messenger Bag Student School Bags Sac","USD 9.99","USD 6.19","38%","USD","7","USD 0.43","2949","91.8%","https://s.click.aliexpress.com/e/_DmyAlMn",,,,,,
"1005004313290069","https://ae04.alicdn.com/kf/Se6fc274bab494852a6715b29364a6925h.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100033119328.mp4","MOTAORA Vintage Women's Backpack Genuine Leather Handmade Embossed Women Bag Leisure Large Capacity Travel Backpacks For IPAD HP","USD 110.40","USD 66.24","40%","USD","8.0","USD 5.30","30","98.8%","https://s.click.aliexpress.com/e/_DCOtVrN",,,,,,
"1005003701314910","https://ae04.alicdn.com/kf/Ha9df39b752eb4384a01d9e1d08917fa1j.jpg",,"Men Canvas Shoulder Bags Casual Tote Travel Men's Crossbody Bag Luxury Messenger Bags Fashion High Quality Handbag","USD 42.91","USD 11.16","74%","USD","7","USD 0.78","80","95.0%","https://s.click.aliexpress.com/e/_DeZHjej",,,,,,
"1005004214199467","https://ae04.alicdn.com/kf/S6a274beafdc640d9a862e007fa6549428.jpg",,"Luxury Ladies Leather Shoulder Bag Handwoven Crossbody Bag Waist Bag Oil Wax Leather Mini Mobile Phone Bag Lipstick Bag","USD 73.89","USD 36.94","50%","USD","8.0","USD 2.96","54","94.0%","https://s.click.aliexpress.com/e/_DDkCDO3",,,,,,
"1005001415489883","https://ae04.alicdn.com/kf/H8d4bb4b391e643318134f78bc12545164.jpg",,"Anime Cartoon Totoro/OPE PIECE Shoulder Bags Sword Art Online Printed Canvas Crossbody Shoulder Messenger Bag","USD 26.85","USD 17.99","33%","USD","7","USD 1.26","124","94.8%","https://s.click.aliexpress.com/e/_DE8il2L",,,,,,
