"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url","Code Name","Code Start Time","Code End Time","Code Value","Code Quantity","Code Minimum Spend"
"1005002875753473","https://ae04.alicdn.com/kf/Ha23103eef0a64f4886349b651578d1d8R.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/309818229716.mp4","Casual Men Shoulder Bag Vintage Crossbody Bags High Quality Male Bag Leather Handbag Men Messenger Bags","USD 11.20","USD 10.30","8%","USD","7","USD 0.72","45","98.5%","https://s.click.aliexpress.com/e/_DcAjmHd",,,,,,
"1005004058659270","https://ae04.alicdn.com/kf/Sf393c2794bfb4a23b126256a5e09246fN.jpg",,"Tassel Messenger Shoulder Bag For Women PU Leather Handbag Lady Boston Hairball Messenger Bags ladies Luxury Crossbody Totes Bag","USD 13.52","USD 6.76","50%","USD","7","USD 0.47","23","90.0%","https://s.click.aliexpress.com/e/_DdRMICT",,,,,,
"1005001940993598","https://ae04.alicdn.com/kf/S92082ba4950743fc8e1a2d23bb79bb33w.jpg",,"Genuine Leather Bags Women Top-Handle Bags Sheepskin Handbags Women Bag Designer Soft Shoulder Bag Lady Patchwork Crossbody Bag","USD 27.03","USD 19.19","29%","USD","7","USD 1.34","343","93.4%","https://s.click.aliexpress.com/e/_DdGPC15",,,,,,
"1005004667653718","https://ae04.alicdn.com/kf/Sdffed1978b54499bb1cd2cadacd54c17J.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100082693229.mp4","Women's bag 2022 new Korean version of one-shoulder messenger bag fashion handbag","USD 10.36","USD 5.39","48%","USD","7","USD 0.38","21","100.0%","https://s.click.aliexpress.com/e/_DeCGlRd",,,,,,
"1005003407711068","https://ae04.alicdn.com/kf/Sc0a3dc8de447407a9cf2c1c76ec4e0660.jpg",,"2023 Canvas Crossbody Bags Youth Fashion Casual Large Capacity Ladies Shoulder Bag Solid Color Women Messenger Bag with Pendant","USD 13.36","USD 3.87","71%","USD","7","USD 0.27","2712","91.6%","https://s.click.aliexpress.com/e/_DEsEMHV",,,,,,
"1005003615924900","https://ae04.alicdn.com/kf/Hee01f4e146d242799db6e7d774d409c6C.jpg",,"Fashion Designer Crossbody Shoulder Bag Plush Women Handbags Casual Small Ladies Messenger Bags","USD 21.70","USD 10.85","50%","USD","7","USD 0.76","24","0.0%","https://s.click.aliexpress.com/e/_DEP1iAB",,,,,,
"1005004466703672","https://ae04.alicdn.com/kf/Sfd2b421a7e4948308dd8a5a668b53f29L.jpg",,"Women's Small Crossbody Shoulder Bags PU Leather Female Cell Phone Pocket Bag Ladies Purse Card Clutches Wallet Messenger Bags","USD 4.17","USD 2.92","30%","USD","7","USD 0.20","66","91.4%","https://s.click.aliexpress.com/e/_Decr8tH",,,,,,
"1005003599050722","https://ae04.alicdn.com/kf/Hdaa2046399a949909f45807044d5fb99x.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/337555396335.mp4","Kawaii Plush Bear Pattern Women’s Chest Bag 2021 Winter Soft Warm Designer Banana Shoulder Handbags For Lady Mini Waist Bag Tote","USD 9.30","USD 5.39","42%","USD","7","USD 0.38","21","100.0%","https://s.click.aliexpress.com/e/_DeCmM7h",,,,,,
"1005002946566489","https://ae04.alicdn.com/kf/S59f4b6769a3f4950aea6326e4c459386u.jpg",,"JEEP BULUO Famous brand Fashion Men's Handbag Shoulder Bag Vintage PU Leather Retro Messenger Bag Stylish Casual Male Crossbody","USD 27.44","USD 13.99","49%","USD","8.0","USD 1.12","24","60.0%","https://s.click.aliexpress.com/e/_DenViU3",,,,,,
"1005004575368045","https://ae04.alicdn.com/kf/Se4d475ed7ce044bf97736a5df98ed0abQ.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100072294817.mp4","2022 designer Large Capacity Waist Packs Oxford Adjustable Buckle Shoulder Bags Women Makeup Phone Travel Bag Zipper Waist Pack","USD 7.28","USD 4.37","40%","USD","8.0","USD 0.35","43","100.0%","https://s.click.aliexpress.com/e/_DESsaHN",,,,,,
"1005004737001923","https://ae04.alicdn.com/kf/S1d024785f3d840038f77f9e110c5a80e5.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100091465562.mp4","Luxury Brand Design Pearl Chain Mini Shoulder Bag Quilting Women PU Leather Rhombus Pattern Phone Pouch Female Tote Purse Wallet","USD 22.53","USD 12.39","45%","USD","7","USD 0.87","96","91.3%","https://s.click.aliexpress.com/e/_DEW3t35",,,,,,
"1005002796505969","https://ae04.alicdn.com/kf/H7365b1d8ae6d41cfab3635de99a903bcL.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/256013211391.mp4","London Style PVC Reusable Shopping Bag Women Bag Eco Friendly Flower Shopper Bag Waterproof Tote Handbag Lunch Tote Shoulder Bag","USD 24.99","USD 17.24","31%","USD","8.0","USD 1.38","98","96.7%","https://s.click.aliexpress.com/e/_DlOmK3D",,,,,,
"32313671258","https://ae04.alicdn.com/kf/HTB1gI0jIXXXXXXVXpXXq6xXFXXXe.jpg",,"Women messenger beaded women vintage evening bags imitation pearl shell women bag shoulder bags,diamonds clutch bag for wedding","USD 42.90","USD 23.59","45%","USD","10.0","USD 2.36","26","100.0%","https://s.click.aliexpress.com/e/_DmvdXUP",,,,,,
"1005003349915092","https://ae04.alicdn.com/kf/H77ca78ee522a43acae7d5a28393dd25aW.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/329160014621.mp4","Japanese Harajuku JK Canvas Bag For Women Transparent Pocket Itabag Mochila High School Girls Uniform JK  Crossbody Shoulder Bag","USD 24.97","USD 14.98","40%","USD","7","USD 1.05","284","94.9%","https://s.click.aliexpress.com/e/_De2Ma7Z",,,,,,
"1005002413739950","https://ae04.alicdn.com/kf/He614f5db21294e2da81fd963fc1590139.jpg",,"Female bag 2021 new female bag Korean fashion atmosphere Boston pillow bag leather shoulder messenger handbag","USD 27.99","USD 27.99","0%","USD","7","USD 1.96","30","100.0%","https://s.click.aliexpress.com/e/_DDm2KD5",,,,,,
"1005004512780426","https://ae04.alicdn.com/kf/Sfeda6371637747c387208b18646aed42j.jpg",,"Men Women Nurse Fanny Pack Purse Nursing Belt Organizer Waist Bag Nurse Scissors Care Kit Tool Case Storage Shoulder Chest Bag","USD 16.62","USD 8.48","49%","USD","7","USD 0.59","23","93.3%","https://s.click.aliexpress.com/e/_DFtYlPH",,,,,,
"1005004222642371","https://ae04.alicdn.com/kf/S6692ae2a361a43e883efcb4f7524ccc0E.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100019513739.mp4","2023 Canvas Shoulder Bag Satchels Casual Shopper Girls Student Zipper Crossbody Purses Organizer Phone Fanny Pack Women Handbags","USD 6.65","USD 3.92","41%","USD","20.0","USD 0.78","66","88.0%","https://s.click.aliexpress.com/e/_Dm6ZuSX",,,,,,
"1005002833590097","https://ae04.alicdn.com/kf/H42aa8baea5ed4b8188598e101919bb2dP.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/314587429628.mp4","Men's Waterproof USB Oxford Crossbody Bag Anti-theft Shoulder Sling Bag Multifunction Short Travel Messenger Chest Pack For Male","USD 28.56","USD 13.71","52%","USD","7","USD 0.96","26","100.0%","https://s.click.aliexpress.com/e/_Dlwn0WP",,,,,,
"32673043533","https://ae04.alicdn.com/kf/S04f4f226869f4fe7a44d7cda96a6073an.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100076771346.mp4","Tactical Men Messenger Nylon Bag Outdoor Army Multifunction Travel Bag Waterproof Phone Shoulder Military Crossbody Pockets 3705","USD 14.00","USD 9.38","33%","USD","7","USD 0.66","675","97.1%","https://s.click.aliexpress.com/e/_DlQe6v5",,,,,,
"1005004639848379","https://ae04.alicdn.com/kf/Sb0f7cf604c62454194155f8a7eb73c631.jpg",,"Japanese Style Kawaii Handbags Women Patchwork Color Nylon Bag Multipockets Shoulder Bag Student School Bag Crossbody Bags Tote","USD 26.63","USD 15.98","40%","USD","7","USD 1.12","95","98.5%","https://s.click.aliexpress.com/e/_Detpjtv",,,,,,
"1005004708399217","https://ae04.alicdn.com/kf/S7a5ed8df167b49a49e5c9be2f6490843L.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/287481405432.mp4","Fashion Men's Crossbody Bag Men Shoulder Bags Multi-function Man Casual Large Capacity Bag For Male Messenger Bags Brand Design","USD 59.50","USD 17.85","70%","USD","7","USD 1.25","32","90.0%","https://s.click.aliexpress.com/e/_DndgUVV",,,,,,
"1005004008146608","https://ae04.alicdn.com/kf/Sa64a59827e154e78880cb09078cefa19F.jpg",,"Oxford Cloth Women's Crossbody Bag 2022 Cloth Casual Backpack Messenger Nylon Canvas Bag Shoulder Middle-aged Mother Handbag","USD 8.31","USD 4.99","40%","USD","7","USD 0.35","706","91.9%","https://s.click.aliexpress.com/e/_DDMEzRH",,,,,,
"32901781633","https://ae04.alicdn.com/kf/HTB1vI8RyZuYBuNkSmRyq6AA3pXaS.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/50228940843.mp4","2018 New Pattern Force Grain Dinner Single Shoulder Satchel High Archives Banquet Hand Obag Wallet Striped Acrylic Clutch Bag","USD 32.99","USD 21.77","34%","USD","7","USD 1.52","21","96.0%","https://s.click.aliexpress.com/e/_Dk9k7cX",,,,,,
"1005002256399754","https://ae04.alicdn.com/kf/H57f0dad9dd1c45edb68fe09fac56ac23E.jpg",,"2021 new autumn and winter ladies handbags fashion trend one-shoulder messenger bag trendy female bag","USD 47.98","USD 23.99","50%","USD","10.0","USD 2.40","23","100.0%","https://s.click.aliexpress.com/e/_DmuSOLD",,,,,,
"1005003038527828","https://ae04.alicdn.com/kf/S4ea9a54c99bc418aa85799a8d534a91cs.jpg",,"Men's Bags Men's Messenger Bag Casual Crossbody Shoulder Bags Waterproof Business Shoulder Bag for Men Travel Satchel Purse","USD 7.85","USD 3.69","53%","USD","7","USD 0.26","77","88.8%","https://s.click.aliexpress.com/e/_DcvgyM3",,,,,,
"1005004349343287","https://ae04.alicdn.com/kf/S99b859f5f9574c56825a66f931170fe41.jpg",,"Women Cute cat shoulder Bag 2022 girl Lolita Plush doll Bag lady cartoon handbag","USD 7.13","USD 4.99","30%","USD","10.0","USD 0.50","39","85.5%","https://s.click.aliexpress.com/e/_DCCxvlD",,,,,,
"1005004715934939","https://ae04.alicdn.com/kf/S8d3ac02f7e4c4fc3b2cfb6609077f32a7.jpg",,"Kindergarten for 2 To 4 Years Old Girls Messenger Bag Fashion Princess Girl Baby Cute Plush Sequin Shoulder Bag Coin Purse Bags","USD 2.36","USD 1.18","50%","USD","7","USD 0.08","128","96.8%","https://s.click.aliexpress.com/e/_DF125yP",,,,,,
"1005002311492235","https://ae04.alicdn.com/kf/Hbb842881d77e4b56b47874337303f66ad.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/333702143009.mp4","Women Shoulder Bag Handmade Embroidery Peacock Bohemia Ethnic Style Retro Handbag Large Capacity Tote Messenger Bag For Girl","USD 18.94","USD 9.66","49%","USD","7","USD 0.68","38","100.0%","https://s.click.aliexpress.com/e/_DD2OTF5",,,,,,
"1005004137309845","https://ae04.alicdn.com/kf/S9af71637bc6b44589cdb7dfe9dbf5064k.jpg",,"Waterproof Canvas Shoulder Bag Large Capacity Crossbody Bags Harajuku Men Messenger Bag Girls School Bags Handbags Women Bag Sac","USD 16.27","USD 6.51","60%","USD","8.0","USD 0.52","520","87.1%","https://s.click.aliexpress.com/e/_DkT0omB",,,,,,
"1005003814786031","https://ae04.alicdn.com/kf/See43ff7fa4054fd2bd919dd213c9ae1bv.jpg",,"Canvas Mini Bag Women 2022 Student Cute One-shoulder Bucket Bag Cartoon Ins Hand Messenger Bag Handbag Lipstick Bag Purses","USD 5.13","USD 3.59","30%","USD","7","USD 0.25","32","98.0%","https://s.click.aliexpress.com/e/_Dcy7i9V",,,,,,
"1005004354496259","https://ae04.alicdn.com/kf/Se97b29bec708496eb64b455371298247B.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100040597853.mp4","Multifunction Crossbody Chest Bag  Men USB Charging Pack Short Trip Messengers Bag Water Repellent Shoulder Fashion","USD 80.85","USD 31.53","61%","USD","7","USD 2.21","94","93.8%","https://s.click.aliexpress.com/e/_DBpq5i7",,,,,,
"1005002952899008","https://ae04.alicdn.com/kf/Hc5e5e6cfd50744d28f1aa2ef357275e7F.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/317285569383.mp4","Men's Crossbody Bag Men Shoulder Bags Zippers Handbags Large Capacity Artificial Leather Bag For Male Messenger Tote Bags","USD 11.90","USD 7.14","40%","USD","7","USD 0.50","326","96.9%","https://s.click.aliexpress.com/e/_DCranOx",,,,,,
"32966197821","https://ae04.alicdn.com/kf/Hb91dae190c294284996ee5d36833a0ccX.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/220839431424.mp4","CONTACT'S new genuine leather messenger bag for men casual shoulder bags male flap bag luxury brand crossbody bags for 9.7"" Ipad","USD 72.40","USD 40.54","44%","USD","8.0","USD 3.24","50","93.3%","https://s.click.aliexpress.com/e/_DCKxVwj",,,,,,
"1005004833608152","https://ae04.alicdn.com/kf/S25f7174c599b4476b3b2c827018324bbb.jpg",,"Small Women Tote Bag Zipper Canvas Lady Handbag Canvas Small Shopping Shoulder Bag Girl Storage Portable Portable Small Book Bag","USD 19.58","USD 9.79","50%","USD","7","USD 0.69","40","88.0%","https://s.click.aliexpress.com/e/_DC3Uoc3",,,,,,
"1005003342001142","https://ae04.alicdn.com/kf/H86091c47045647b388cecdb91ad2ad48A.jpg",,"Van Gogh Art Print Shoulder Bag Women Handbag Oil Painting Sunflower Starr Night Canvas Crossbody Bags Girl Casual Satchel Gift","USD 8.30","USD 4.81","42%","USD","7","USD 0.34","61","91.6%","https://s.click.aliexpress.com/e/_Dljt9un",,,,,,
"4000918145085","https://ae04.alicdn.com/kf/Sd6fd4493f4f64954805539d015e1e1e98.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100100707268.mp4","WESTAL men's shoulder bag vintage messenger bag men genuine leather bolsos male crossbody bags cocrodile design men's bags small","USD 41.42","USD 25.27","39%","USD","7","USD 1.77","21","100.0%","https://s.click.aliexpress.com/e/_DD5ttMX",,,,,,
"1005002440340074","https://ae04.alicdn.com/kf/Hd54222e0d89b43f38d683c718afdadb53.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/305532191542.mp4","Women Fanny Pack Girl Leather Chest Bags For Women 2021 Travel Shoulder Handbags Waist Packs Female Phone Purses Lady","USD 28.57","USD 11.43","60%","USD","7","USD 0.80","51","93.3%","https://s.click.aliexpress.com/e/_DEZljT9",,,,,,
"32947649098","https://ae04.alicdn.com/kf/HTB1MHjoXvjsK1Rjy1Xaq6zispXaN.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/282688725937.mp4","Genuine Leather Male Waist Fanny Packs Belt Bags Small Messenger Shoulder Men Phone Pouch Blosa Card Holder Key Cigarette Case","USD 28.92","USD 15.91","45%","USD","8.5","USD 1.35","41","98.0%","https://s.click.aliexpress.com/e/_DDTN9AL",,,,,,
"1005004772282531","https://ae04.alicdn.com/kf/Sd0119b9d01fd4ba791c45d514bb69616y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100089218077.mp4","Men's Crossbody party Bag Waterproof USB Chest Bags Anti-theft Shoulder Sling Bag Multifunction Short Travel Messenger Pack","USD 20.25","USD 5.47","73%","USD","7","USD 0.38","110","90.8%","https://s.click.aliexpress.com/e/_DmyQQar",,,,,,
"1005002280776673","https://ae04.alicdn.com/kf/H4a60307384a94377aaad2eefa45dd83e2.jpg",,"Cute Society Cat Women Tote Handbag Ladies Leisure Shoulder Bag  Harajuku Graphic Print Handle Shopper Bags for Shopping Large","USD 9.31","USD 4.47","52%","USD","10.5","USD 0.47","31","100.0%","https://s.click.aliexpress.com/e/_DlUzQIr",,,,,,
"1005003528292637","https://ae04.alicdn.com/kf/Sb6b6a5d0f70b4a81a49f7e841b98984bn.jpg",,"2023 Soft Pu Leather Brand Girls Shoulder Bags Black HandBags Tote New Arrival Mini Small Motorcycle Bags Crossbody for Women","USD 42.99","USD 21.49","50%","USD","7","USD 1.50","1149","95.7%","https://s.click.aliexpress.com/e/_DkGTWwn",,,,,,
"1005001830366025","https://ae04.alicdn.com/kf/S6b9043f3ded74a5c86ce29081fdf67b3d.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/308854048608.mp4","Men's Bags Light Canvas Shoulder Bag for 7.9' Ipad Casual Crossbody Bags Waterproof Business Shoulder Bag for Men","USD 8.78","USD 7.90","10%","USD","7","USD 0.55","29","95.6%","https://s.click.aliexpress.com/e/_DddNt2j",,,,,,
"1005003494226131","https://ae04.alicdn.com/kf/H5753ec7a358047debaa5e487c1210ca7D.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/334315281511.mp4","Winter Soft Lamb Faux Fur Ladies Shoulder Bag for Women Solid Color Fluffy Plush Crossbody Bag Large Capacity Female Casual Bags","USD 25.45","USD 12.72","50%","USD","7","USD 0.89","73","98.0%","https://s.click.aliexpress.com/e/_Dd3Vv9Z",,,,,,
"1005003012908866","https://ae04.alicdn.com/kf/Heea8cccd919a452aae514767635a61f63.jpg",,"Japanese style illustration cat lady shoulder bag cotton and linen mini bag simple mini messenger casual bag","USD 10.90","USD 4.58","58%","USD","10.0","USD 0.46","49","100.0%","https://s.click.aliexpress.com/e/_DF0tidd",,,,,,
"1005003322221167","https://ae04.alicdn.com/kf/H95368d4a621146919bd74cd24461f791X.jpg",,"Retro Leopard Shoulder Bag Women Large Capacity Handbag Fashion Female Shopping Tote Bag Travel Street Bag Student Handbag","USD 17.78","USD 12.45","30%","USD","8.0","USD 1.00","43","100.0%","https://s.click.aliexpress.com/e/_DEV7XQb",,,,,,
"1005001309888511","https://ae04.alicdn.com/kf/Habedd2d18bb54fda82577a0b416234abh.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100108023905.mp4","Minimalistic Men Messenger Bags Fashion Business Travel Shoulder Bags Male Nylon Waterproof Briefcase Crossbody Handbag Women","USD 31.35","USD 20.69","34%","USD","8.0","USD 1.66","53","90.0%","https://s.click.aliexpress.com/e/_DCUXWgL",,,,,,
"1005001467816977","https://ae04.alicdn.com/kf/H53c8c6e9646c417a9560113475fed98bg.jpg",,"Men's Shoulder Bags USB Charging Crossbody Bags Male Anti Theft Canvas Shoulder Bag School Casual Short Trip Travel Bag 2020","USD 4.67","USD 2.76","41%","USD","8.0","USD 0.22","79","95.0%","https://s.click.aliexpress.com/e/_DeEhumR",,,,,,
"1005002674648774","https://ae04.alicdn.com/kf/Hea2e3925351249b8a9f56cfdf94e44d3v.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/332609418335.mp4","European Brand Design Chain Crossbody Bag Jacket Coat Bags Women Clothing Shoulder Bag Messenger Bag Women Leather Handbags New","USD 24.62","USD 14.53","41%","USD","7","USD 1.02","21","100.0%","https://s.click.aliexpress.com/e/_DBoNhvp",,,,,,
"1005001749267116","https://ae04.alicdn.com/kf/H896f2ffdd5a94df18e820800a0778200L.jpg",,"Fashion Striped Women Shoulder Bag Korean Style Canvas Sling Bags Small Square Crossbody Handbag Mommy Simple Travel Handbags","USD 15.89","USD 12.71","20%","USD","8.0","USD 1.02","66","98.0%","https://s.click.aliexpress.com/e/_De5fXGn",,,,,,
